,smart_institution2,count
190,Florida State University College Of Medicine,8
191,Maine Medical Center,8
192,Perelman School Of Medicine,8
193,University Of South Florida Morsani College Of Medicine,8
194,University Of Mississippi,8
195,Sinai Hospital Of Baltimore,8
196,University Of Alberta,8
197,Guthrie Clinic,8
198,Holy Cross Hospital,8
199,Thomas Jefferson University Hospital,8
200,Brown University,8
201,Saint Louis University School Of Medicine,8
202,Brooke Army Medical Center,8
203,Johns Hopkins All Children'S Hospital,8
204,Marshall University School Of Medicine,8
205,Suny Downstate Medical Center,8
206,Northwestern University Feinberg School Of Medicine,8
207,Nova Southeastern University,7
208,Donald And Barbara Zucker School Of Medicine At Hofstra/Northwell,7
209,Robert Wood Johnson - Umdnj,7
210,Kendall Regional Medical Center,7
211,San Joaquin General Hospital,7
212,Medical College Of Georgia,7
213,Inova Fairfax Hospital,7
214,Scott & White Healthcare,7
215,Virginia Tech Carilion School Of Medicine,7
216,Indiana University,7
217,Cancer Institute Of New Jersey,7
218,Lewis Katz School Of Medicine At Temple University,7
219,Henry Ford Health System,7
220,Mayo Clinic - Florida,7
221,University Of North Carolina,7
222,Michigan Medicine,7
223,Ut Southwestern Medical Center,7
224,Lehigh Valley Health Network,7
225,Ann And Robert H. Lurie Children'S Hospital Of Chicago,7
226,Kobe University Graduate School Of Medicine,7
227,Children'S Mercy Hospital,7
228,Children'S Memorial Hermann Hospital,7
229,Price Institute Of Surgical Research,7
230,University Of Pittsburgh School Of Medicine,7
231,University Of Auckland,7
232,Montefiore Medical Center,7
233,East Tennessee State University,6
234,Washington Hospital Center,6
235,Baystate Medical Center,6
236,Duke University,6
237,Albert Einstein College Of Medicine,6
238,Henry Ford Hospital,6
239,Wright State University Boonshoft School Of Medicine,6
240,Harbor-Ucla Medical Center,6
241,Mount Sinai Hospital,6
242,Brandon Regional Hospital,6
243,Loma Linda University Children'S Hospital,6
244,New York Medical College,6
245,Washington University In St. Louis,6
246,Anne Arundel Medical Center,6
247,Loma Linda University School Of Medicine,6
248,Staten Island University Hospital,6
249,Women And Children'S Hospital Of Buffalo,6
250,The Feinstein Institute For Medical Research,6
251,Johns Hopkins Hospital,6
252,University Of Louisville School Of Medicine,6
253,Johns Hopkins University,6
254,Uab,6
255,Medstar Georgetown University Hospital,6
256,Uniformed Services University Of The Health Sciences,6
257,Kings County Hospital Center,6
258,University Of Toledo,6
259,Yale School Of Medicine,6
260,Denver Health Medical Center,6
